cid,smiles,acvalue,categories
127027767,C1=CC=C(C=C1)CN2C=NC3=C(N=C(N=C32)Cl)NCCCCCC(=O)NO,2.83,inhibitor
145955331,CC12CC(C3C(C1CCC2OCOC)CCC4=C3C=CC(=C4)OCOC)OC(=O)C5=CC=C(C=C5)NC(=O)CN6CCN(CC6)C,2.85,inhibitor
137654517,C1=CC2=C(C(=C1)Cl)N=C(C=C2)CNCC3=CC=C(C=C3)C=CC(=O)NO,2.92,inhibitor
145989655,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=C(C=C8)Cl)OC)OC,2.97,inhibitor
145979046,CC(=O)C=CC1=CC(=C(C=C1)OCC2=CN(N=N2)C3=C(C=CC=C3Cl)Cl)OC,3.073,inhibitor
137651729,C1=CC=C2C(=C1)C=CC(=N2)CNCC3=CC=C(C=C3)C=CC(=O)NO,3.08,inhibitor
155551917,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC=C(C=C3)Br)NC(=O)C4=CC=C(C=C4)C=CC(=O)NO,3.08,inhibitor
137634840,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)N(C)CCO)C)O,3.09,inhibitor
137643415,COC1=CC(=C(C(=C1)OC)C=CC(=O)C=CC2=CNC3=CC=CC=C32)OC,3.12,inhibitor
137634331,COC1=CC(=CC(=C1OC)OC)C=CC(=O)C=CC2=CNC3=CC=CC=C32,3.15,inhibitor
44562079,CN(C)C1=CC=C(C=C1)C=CC2=CC=C(O2)C(=O)NO,3.2,inhibitor
155559200,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC=C(C=C3)I)NC(=O)C4=CC=C(C=C4)C=CC(=O)NO,3.22,inhibitor
132569672,C1COC2(C3=C(C=CC(=C3)Cl)N(C2=O)CCC(=O)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)OC1,3.23,inhibitor
145992143,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=C(C=C8)F)OC)OC,3.24,inhibitor
145990716,CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C3C=C2CC4C5=C(C(=C(C=C5CCN4C)OC)OC)OC6=C(C=C7CCN(C(C7=C6)CC8=CC=C(O3)C=C8)C)OC)OC)C,3.29,inhibitor
137662182,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCN(CC)CC)C)O,3.35,inhibitor
